,City,Latitude,Longitude,Country,Date,Cloudiness,Humidity,Temp,Wind Speed
33,Jaguariaiva,-24.641222000078656,-49.380737764525776,BR,1538950783.0,48.0,84.0,69.55,7.76
34,Chokurdakh,89.13804240505041,156.03513630918707,RU,1538950783.0,80.0,89.0,24.28,7.09
35,Busselton,-34.96973682653504,98.8652531804031,AU,1538950783.0,100.0,100.0,57.49,13.02
36,Flin Flon,55.62072699569006,-100.70617069230845,CA,1538949600.0,90.0,86.0,28.4,9.17
37,Campbell River,50.834851771329824,-125.11270008196976,CA,1538949600.0,90.0,93.0,50.61,12.75
38,Vila Franca do Campo,35.43580367657694,-22.417027902678342,PT,1538949600.0,20.0,73.0,69.8,6.93
40,Rosario,-3.2336176141097894,-44.23823927368531,BR,1538950784.0,0.0,32.0,96.82,2.73
41,Banikoara,11.336037716969173,2.5777836212569696,BJ,1538950784.0,12.0,96.0,71.44,4.63
42,Yellowknife,73.66238952229986,-104.99474057741418,CA,1538949600.0,20.0,100.0,32.0,2.24
43,Soe,-11.755109931550308,126.16087083090054,ID,1538950784.0,0.0,88.0,55.51,1.72
44,Port Alfred,-81.96984913053647,38.62178949852182,ZA,1538950785.0,0.0,88.0,69.28,18.84
45,Rio das Ostras,-22.447686260896447,-41.92882817250836,BR,1538946000.0,90.0,88.0,69.8,18.34
46,Leningradskiy,82.98172410338378,178.26777110935177,RU,1538950785.0,80.0,98.0,35.89,8.77
47,Yumen,36.04661487877347,94.80604173592496,CN,1538950785.0,0.0,38.0,39.4,10.0
48,Barrow,78.15335555573111,-166.73326570301498,US,1538949240.0,90.0,89.0,71.11,9.17
49,Hilo,12.978376685960768,-138.89984205178723,US,1538950260.0,90.0,97.0,70.93,4.7
50,Chapais,54.82133441723826,-75.87819859164198,CA,1538946000.0,90.0,69.0,35.6,5.82
51,Gazanjyk,39.774515004856966,56.3668017826169,TM,1538950785.0,0.0,63.0,48.58,11.45
52,Severo-Kurilsk,29.570408387368403,169.2571607337157,RU,1538950786.0,8.0,93.0,46.06,13.47
54,Zaraza,9.070109567166043,-65.13255680232169,VE,1538950786.0,36.0,91.0,79.81,8.88
55,Ponta do Sol,25.9457162771466,-33.802124852181976,CV,1538950786.0,0.0,99.0,79.36,13.47
56,Kapaa,33.88399607334286,-157.46617450931558,US,1538949840.0,20.0,74.0,84.02,13.87
58,Juneau,58.68110469604389,-131.95788945054096,US,1538949360.0,90.0,96.0,48.02,6.93
60,Campos Altos,-19.75076142666485,-46.019493269737865,BR,1538950787.0,32.0,89.0,69.82,6.76
61,Biak,0.15639257450894206,138.9346498184803,ID,1538950787.0,44.0,100.0,75.13,3.51
62,Mananjary,-21.88459234329231,49.4934314269353,MG,1538950787.0,32.0,73.0,61.45,3.18
63,Waingapu,-10.785071796049294,121.13361162691575,ID,1538950787.0,0.0,94.0,66.58,3.96
65,Dingle,50.035164186830656,-16.881391243936037,IE,1538950787.0,92.0,90.0,57.31,25.32
66,Rocha,-48.42570738143336,-42.11723792327257,UY,1538950788.0,0.0,58.0,71.26,6.98
67,Walvis Bay,-26.301771064287543,2.370311163252353,NA,1538946000.0,0.0,87.0,55.4,8.05
68,Artvin,41.019038023879915,41.73155844517652,TR,1538949600.0,0.0,93.0,55.4,8.05
69,Tiksi,88.44775783907806,122.92676012190543,RU,1538950788.0,36.0,100.0,20.41,2.95
70,Hermanus,-85.34544982257381,5.092921775756196,ZA,1538950788.0,0.0,83.0,60.01,4.97
71,Yar-Sale,67.37395899362488,71.8409616971411,RU,1538950789.0,88.0,100.0,37.42,16.93
72,Nhulunbuy,-11.438695760434683,138.92934948378218,AU,1538947800.0,0.0,83.0,77.0,4.7
74,Champerico,9.817565615287435,-94.9596055343726,GT,1538946000.0,75.0,74.0,82.4,9.17
75,Hambantota,-4.223200082636382,86.46607494068792,LK,1538950789.0,92.0,100.0,77.56,13.69
76,Sechura,-7.955393933765379,-83.48209749222504,PE,1538950789.0,20.0,82.0,71.98,12.91
77,Shubarkuduk,48.26701764648547,55.50102733844827,KZ,1538950789.0,0.0,83.0,42.91,11.12
78,Bredasdorp,-88.9836188738418,27.848413936680885,ZA,1538946000.0,80.0,88.0,64.4,10.29
79,Ballina,58.23255586168767,-12.967711802197954,IE,1538947800.0,90.0,100.0,53.6,14.99
80,Road Town,24.049393203041063,-63.849326558993596,VG,1538949600.0,75.0,78.0,82.94,10.29
82,Beloha,-31.433038205226453,40.484295296984044,MG,1538950790.0,0.0,86.0,69.82,14.92
83,Umea,63.52279781482403,20.69459011014004,SE,1538949000.0,0.0,92.0,21.2,6.98
84,Luau,-10.563869595331298,23.290940842173455,AO,1538950790.0,8.0,50.0,71.17,3.74
86,Bilma,21.03432982284174,12.226862893202053,NE,1538950791.0,0.0,23.0,75.22,4.18
88,Sao Joao da Barra,-28.541743016171296,-32.23317590548584,BR,1538946000.0,90.0,83.0,73.4,6.93
89,Kruisfontein,-88.0558661854785,28.53059228857859,ZA,1538950791.0,0.0,89.0,65.32,13.69
90,Asyut,23.821995024357776,26.909669175142454,EG,1538946000.0,0.0,57.0,75.2,9.17
91,Cape Town,-54.03042469321078,1.598139930636023,ZA,1538946000.0,0.0,72.0,68.0,12.75
92,Vardo,79.8323976632199,34.07191048433256,NO,1538949000.0,20.0,86.0,35.02,13.87
93,Port Blair,8.200324227411102,92.66100791048086,IN,1538950791.0,88.0,100.0,79.81,19.51
94,East London,-87.33991749874855,60.94830386471199,ZA,1538950792.0,12.0,100.0,69.73,25.77
95,Barmer,26.08956659343326,70.73072101052853,IN,1538950792.0,0.0,49.0,74.14,2.95
97,Tuktoyaktuk,88.43572151656338,-120.72535894215856,CA,1538949600.0,5.0,68.0,28.4,17.22
98,San Patricio,6.22419955390761,-110.87946401749667,MX,1538944800.0,40.0,66.0,91.4,11.41
99,Saint-Francois,19.83395388871783,-53.439662206334816,GP,1538947800.0,88.0,94.0,75.2,9.17
101,Rio Gallegos,-50.29019017222365,-65.63350245283561,AR,1538949600.0,20.0,31.0,48.2,20.8
102,Tasiilaq,71.95775642083561,-33.304647468319956,GL,1538949000.0,92.0,51.0,37.4,9.17
103,Vaini,-35.799398164039275,-176.37566374058056,TO,1538946000.0,75.0,78.0,77.0,5.82
104,Cherskiy,72.17033470235424,159.42151151341398,RU,1538950793.0,92.0,93.0,30.76,6.31
105,Puerto Ayora,-8.116937019100504,-112.22949513743532,EC,1538946000.0,0.0,57.0,77.0,12.75
106,Sitka,42.629531564161795,-141.78541194194645,US,1538950793.0,92.0,100.0,64.42,12.68
107,Carnarvon,-27.704729458666932,87.63532717223143,AU,1538950794.0,0.0,100.0,65.77,14.58
108,Yuanping,38.86893750380855,113.32421839006736,CN,1538950794.0,0.0,67.0,24.19,2.17
109,Carbonia,38.28087542629359,8.061007268639628,IT,1538949300.0,5.0,93.0,64.45,2.24
110,Kaitangata,-83.87180470047883,179.92334624851492,NZ,1538950794.0,0.0,82.0,46.87,8.99
111,Bo Phloi,14.288049240394614,98.91388126996878,TH,1538950794.0,12.0,95.0,71.62,2.73
112,Aktanysh,55.55032564094631,54.10470729405233,RU,1538950794.0,88.0,88.0,50.38,12.68
113,Kimbe,-5.064040863421454,149.49593046050506,PG,1538950794.0,0.0,100.0,77.29,10.67
114,Tripoli,33.1600668409519,13.639583174468953,LY,1538950795.0,20.0,100.0,77.02,8.43
115,Yabelo,4.845470849134571,37.774336979841365,ET,1538950795.0,80.0,96.0,62.89,2.62
116,Sao Filipe,7.453423905416699,-33.67370030567071,CV,1538950795.0,0.0,94.0,80.53,11.12
118,Iqaluit,63.7440616415806,-75.03281475453382,CA,1538949600.0,90.0,74.0,30.2,13.87
119,Mayo,65.4280363069488,-138.48280073542037,CA,1538946000.0,20.0,55.0,32.0,5.82
120,Kamenka,68.85657836105523,43.95180461753867,RU,1538950795.0,0.0,66.0,49.57,17.05
121,Ushuaia,-86.08133679771342,-23.841630798928776,AR,1538950621.0,56.0,76.0,37.51,12.46
122,Port Hardy,43.575995326919326,-137.2809887861742,CA,1538949600.0,90.0,93.0,50.0,10.29
123,New Norfolk,-72.4980425613252,134.24781625595762,AU,1538947800.0,75.0,71.0,53.6,6.93
124,Kyshtovka,57.54128601138939,76.5037703864815,RU,1538950796.0,76.0,68.0,45.88,11.9
125,Tinskoy,54.615808127340074,96.76638274799001,RU,1538950796.0,0.0,70.0,38.86,6.98
126,Norman Wells,67.07282764695319,-126.00626919750856,CA,1538949600.0,40.0,59.0,33.8,23.04
128,Karratha,-18.186727924084366,112.94401674795495,AU,1538950796.0,0.0,30.0,72.07,10.22
130,Mackay,-18.26995617862883,153.0122687706584,AU,1538946000.0,12.0,94.0,68.0,3.36
131,Mount Isa,-23.15733260467877,141.05232809348098,AU,1538947800.0,0.0,27.0,73.4,1.12
133,Kodiak,43.35986428574543,-155.42709020385814,US,1538949180.0,90.0,100.0,60.98,5.82
134,Faanui,-3.3339487666505363,-153.31312120584607,PF,1538950797.0,56.0,100.0,79.09,10.67
135,Hofn,62.63559756060181,-11.526083068589742,IS,1538950721.0,0.0,100.0,42.01,18.28
136,Alice Springs,-24.752310512395383,137.22843207312786,AU,1538947800.0,100.0,25.0,75.2,1.12
137,Luderitz,-28.16309000724347,7.044735892786093,NA,1538950585.0,76.0,65.0,66.22,10.67
138,Antofagasta,-23.91521378325919,-77.62729793316574,CL,1538949600.0,90.0,77.0,60.8,13.87
139,Arraial do Cabo,-39.02073510041887,-29.06801051183362,BR,1538946000.0,75.0,88.0,69.8,17.22
140,Buckeye,33.07690195260962,-113.41195170981788,US,1538949300.0,1.0,53.0,71.56,4.7
141,Mercedes,-33.50055839077474,-65.21500799678985,AR,1538950798.0,36.0,56.0,82.06,9.44
142,Ribeira Grande,42.633122974918166,-31.650848232605455,PT,1538950798.0,92.0,100.0,70.81,14.03
143,Umm Lajj,26.118980647713457,36.35694566957386,SA,1538950798.0,0.0,100.0,76.93,4.97
144,Kajaani,63.92625112608442,27.6252871056258,FI,1538949000.0,0.0,100.0,24.8,1.12
145,Talnakh,71.56937353606463,94.81179062635766,RU,1538950798.0,100.0,81.0,43.54,21.07
146,Altay,46.042346366546525,88.80357864299731,CN,1538950798.0,0.0,60.0,18.88,1.95
147,Coos Bay,42.178880762992975,-124.90676562730422,US,1538949360.0,90.0,74.0,57.38,6.93
148,Bethel,62.3846920987248,-162.72362382992833,US,1538949180.0,90.0,96.0,48.92,6.93
149,Okhotsk,57.147407801848004,144.4950507876685,RU,1538950799.0,80.0,100.0,32.56,3.96
150,Khatanga,84.04588012774272,94.78021652547693,RU,1538950799.0,36.0,84.0,43.63,15.82
151,Bullhead City,34.85173870874689,-115.1028872912164,US,1538949360.0,75.0,25.0,70.45,17.22
153,Hami,39.69571978796054,91.89187137724434,CN,1538950800.0,0.0,54.0,39.31,8.66
154,Pisco,-19.338956328237913,-87.1041234921468,PE,1538946000.0,20.0,30.0,71.6,8.05
155,Saint-Philippe,-24.41727377675953,56.99689970057662,RE,1538947800.0,0.0,60.0,68.83,6.93
156,Parkes,-31.877625911540598,146.58535859484323,AU,1538950800.0,0.0,81.0,51.19,3.4
157,Ahipara,-29.581097887063343,170.31845485832042,NZ,1538950800.0,0.0,86.0,58.21,5.97
158,Avarua,-73.58731447712782,-165.70887319968273,CK,1538946000.0,75.0,69.0,80.6,8.05
159,Virginia Beach,35.619858742801185,-73.22407363151034,US,1538949540.0,1.0,69.0,81.18,9.17
160,Okakarara,-20.694161637980358,18.297068819263416,NA,1538950801.0,64.0,30.0,68.11,5.64
161,Olinda,-8.628341746103047,-29.938143022198318,BR,1538946000.0,90.0,78.0,74.73,8.05
162,Fairbanks,65.61204930719012,-144.57324188885616,US,1538949480.0,40.0,18.0,39.78,4.7
163,Torbay,45.99087217238869,-40.341572480368114,CA,1538949600.0,90.0,65.0,44.6,5.82
164,Nemuro,42.34289164577646,147.7782955053412,JP,1538950801.0,88.0,100.0,54.88,15.82
165,Aurillac,44.808145013706394,2.2253137083476418,FR,1538949600.0,90.0,100.0,42.8,3.36
166,Mana,8.718543820609668,-52.845201460237334,GF,1538950802.0,12.0,70.0,84.49,4.63
167,San Juan,24.466617010096186,-65.25288537989023,US,1538949300.0,1.0,46.0,91.78,20.8
168,Babaeski,41.765695136574266,27.016479627057322,TR,1538950802.0,0.0,90.0,53.62,5.64
169,Saskylakh,84.38310398181122,119.50456060990956,RU,1538950802.0,44.0,92.0,34.99,16.6
171,Port Lincoln,-48.70469961732414,128.80334932041887,AU,1538950802.0,80.0,99.0,57.4,14.81
172,Namibe,-17.467265332294758,10.600083973640608,AO,1538950803.0,0.0,100.0,69.1,13.47
173,Chihuahua,29.458162929912703,-105.56381635627402,MX,1538945100.0,40.0,27.0,86.0,16.11
174,Pandan,16.5520616441802,125.37106069804031,PH,1538950803.0,32.0,100.0,80.8,9.78
175,Makakilo City,8.188469395025137,-165.0825595985006,US,1538947260.0,90.0,94.0,83.1,5.82
176,Norheimsund,60.335441846525384,6.138262511037794,NO,1538950803.0,92.0,97.0,38.14,7.09
177,Conde,-15.069164876374032,-33.235597579335035,BR,1538950803.0,76.0,89.0,75.94,8.66
178,Buala,-1.8305670142720771,161.00246671819042,SB,1538950804.0,88.0,95.0,81.34,7.76
179,Thompson,69.27183424878831,-97.40576822202479,CA,1538949780.0,90.0,79.0,28.4,4.7
180,Atuona,-5.1078632707726115,-137.12914452761373,PF,1538950619.0,48.0,100.0,79.81,8.88
181,Busayra,30.62278192263385,36.03427643386513,JO,1538950804.0,0.0,84.0,62.71,2.17
183,Inhambane,-21.963347399307793,37.83088103083168,MZ,1538950804.0,12.0,97.0,70.18,12.24
184,Adrar,26.225243394277214,1.8377978242544941,DZ,1538949600.0,0.0,21.0,80.6,4.7
185,Shizunai,41.65821462471516,142.12687220191037,JP,1538950805.0,20.0,100.0,48.04,1.83
186,San Luis,-33.203269104583114,-66.61888817080796,AR,1538950805.0,8.0,19.0,88.63,14.47
187,Fortuna,36.07248299346351,-132.25429793432465,US,1538949300.0,1.0,55.0,65.28,16.11
188,Ulladulla,-39.81978123498763,158.84511572839227,AU,1538947800.0,40.0,93.0,60.8,17.22
189,Kropotkin,57.614266866580806,116.59789960840925,RU,1538950808.0,0.0,68.0,54.25,13.02
190,Banda Aceh,3.0468246621931883,88.48560533495095,ID,1538950809.0,68.0,100.0,74.05,2.62
191,Hamilton,26.544285970075833,-61.94180253719202,BM,1538945700.0,40.0,65.0,78.8,5.82
193,Trinidad,-14.920965364156501,-65.14508798772451,BO,1538946000.0,75.0,59.0,89.6,10.29
194,Rapid Valley,43.39809697067494,-102.77385224550667,US,1538949660.0,90.0,85.0,37.54,10.29
195,Oranjestad,13.208485112954222,-71.19964581470808,AW,1538946000.0,20.0,74.0,86.0,14.99
196,Iralaya,16.78106341950405,-81.64050421485894,HN,1538950809.0,20.0,80.0,85.84,11.68
197,Arkhangelsk,65.40531238726481,40.600860733140564,RU,1538947800.0,75.0,92.0,32.0,2.24
198,Nabire,-5.797546132390536,137.35361142149208,ID,1538950810.0,68.0,94.0,69.19,1.72
199,Taixing,32.17671288686776,120.1279390754222,CN,1538950810.0,48.0,91.0,59.29,5.64
200,Kurbnesh,41.73776140941288,20.241467658051562,AL,1538949000.0,0.0,93.0,60.8,3.36
202,Porto Novo,14.597132398954088,-33.9256036950118,CV,1538949600.0,40.0,74.0,82.4,25.28
204,Mizdah,31.318168990273463,13.005582883464655,LY,1538950810.0,0.0,47.0,66.76,8.88
205,Ayagoz,47.498569888205566,80.8690530097079,KZ,1538950811.0,12.0,87.0,42.64,11.68
206,Los Angeles,-37.45891161588197,-72.36671423904849,CL,1538946000.0,0.0,67.0,60.8,8.05
207,Anadyr,61.56354382585212,173.57432050942862,RU,1538947800.0,75.0,87.0,46.4,8.95
208,Hithadhoo,-10.185935076846391,77.61170860167937,MV,1538950811.0,88.0,100.0,80.98,15.7
209,Saint-Denis,-19.752601005728323,55.598437525631454,RE,1538947800.0,0.0,72.0,69.01,6.93
210,Geraldton,-29.561261005637135,109.62870479410151,AU,1538947800.0,90.0,87.0,59.0,4.7
211,Saint-Pierre,46.19766605023747,-56.678572621011256,PM,1538949600.0,0.0,71.0,50.0,12.75
212,Souillac,-48.16344585555971,73.42292844356322,MU,1538946000.0,20.0,82.0,68.0,8.05
213,Lagoa,43.19091659690798,-28.47036961379422,PT,1538949600.0,0.0,37.0,66.2,6.93
214,Ust-Kulom,62.525567153298056,54.053433279377344,RU,1538950812.0,88.0,89.0,39.58,4.97
215,Bagdarin,53.702953670263156,112.89947905353216,RU,1538950812.0,80.0,64.0,24.28,2.39
216,Ketchikan,49.65239722478631,-135.9277860422881,US,1538949360.0,90.0,89.0,52.7,5.82
217,Maumere,-7.5533847403013255,123.72727495449419,ID,1538950813.0,0.0,100.0,78.55,5.64
218,Iracoubo,11.488864091682913,-51.2561862564404,GF,1538950813.0,0.0,68.0,83.95,6.08
219,Dunedin,-58.18194679166367,179.22710139614878,NZ,1538950813.0,68.0,93.0,43.45,3.62
220,Berbera,11.58346232030074,45.84526571675761,SO,1538950813.0,0.0,66.0,60.55,2.62
221,Bambous Virieux,-33.99028125485234,74.14103649106264,MU,1538946000.0,20.0,82.0,68.0,8.05
222,Samarai,-14.55041931357168,150.11743865557202,PG,1538950813.0,0.0,100.0,76.57,12.91
223,Te Anau,-39.03382565010446,164.7981704031124,NZ,1538950814.0,20.0,98.0,41.29,3.62
224,Miraflores,0.5436726027646301,-71.3779451242474,CO,1538950814.0,88.0,70.0,61.81,2.06
225,Pergamino,-33.815636708796696,-60.31054104610729,AR,1538950814.0,0.0,34.0,81.07,12.01
226,Lompoc,25.760326483855522,-125.78329510418834,US,1538949360.0,1.0,67.0,73.85,18.34
227,Nuevo Progreso,23.42537309654422,-95.64623103266565,MX,1538950814.0,8.0,90.0,85.3,4.41
229,Victoria,4.29385334523208,61.52256729808698,SC,1538946000.0,40.0,78.0,80.6,9.17
230,Leshukonskoye,63.51507468298436,45.98625044253262,RU,1538950814.0,0.0,96.0,28.96,4.74
232,Vagay,57.64685870904145,69.85915073792162,RU,1538950815.0,92.0,99.0,41.2,7.09
234,Komsomolskiy,67.28593147790275,174.34073295328454,RU,1538950815.0,92.0,98.0,35.26,16.04
235,Cayenne,5.397175870760947,-50.33917295561923,GF,1538947800.0,0.0,78.0,82.4,5.82
236,Honningsvag,81.58517360714981,26.287384312920523,NO,1538949000.0,75.0,86.0,38.39,12.75
237,Kupang,-13.25024347464462,123.66864524487892,ID,1538947800.0,20.0,72.0,68.0,1.12
238,Nkhotakota,-12.710323266276944,34.556381625210236,MW,1538950816.0,0.0,77.0,68.38,7.76
239,Litovko,49.23388869543621,135.5751594139066,RU,1538950816.0,48.0,92.0,34.81,2.51
240,Zhucheng,35.8832277737169,119.13018865783124,CN,1538949600.0,32.0,68.0,66.2,4.47
241,Nizhniy Kuranakh,60.0941497956307,124.10918551222471,RU,1538950816.0,0.0,87.0,19.06,2.73
242,Provideniya,42.35463454765292,-179.44558311486145,RU,1538947800.0,90.0,87.0,46.4,6.71
243,Lavrentiya,61.027783674060714,-169.70867873131212,RU,1538950816.0,88.0,99.0,43.72,8.21
244,Newport,45.09018707941078,-129.18659271568646,US,1538949780.0,75.0,93.0,70.86,3.36
245,Ust-Nera,64.96161978546155,143.87516481877907,RU,1538950817.0,56.0,91.0,3.13,2.17
246,Goundam,17.128406684655886,-5.356090453881336,ML,1538950817.0,0.0,40.0,78.28,4.74
247,Coihaique,-50.792291993133524,-83.71698217729018,CL,1538946000.0,40.0,47.0,50.74,6.93
248,Shingu,29.262206417921092,137.00250660300435,JP,1538950817.0,24.0,100.0,73.06,4.97
249,Hibbing,47.434260478868055,-93.48551829707031,US,1538949300.0,90.0,75.0,43.47,11.41
250,Leiyang,26.60201220754955,113.83576526190888,CN,1538950817.0,0.0,86.0,56.14,2.95
251,Gornopravdinsk,61.7054005245468,69.07339063538194,RU,1538950818.0,92.0,91.0,41.38,4.63
252,Ostrovnoy,77.37766121838925,42.840217940957245,RU,1538950818.0,0.0,92.0,25.45,11.68
254,Neiafu,-19.21464416257585,-174.17979428932708,TO,1538946000.0,40.0,88.0,78.8,4.7
256,Morondava,-19.236983505883316,43.48153472863157,MG,1538950818.0,0.0,100.0,70.81,5.64
257,Montrose,37.940618036097916,-107.96391697196154,US,1538949300.0,75.0,64.0,52.86,6.93
258,Llanes,45.04177287990825,-4.898420257741833,ES,1538950818.0,88.0,96.0,43.36,2.28
259,Qom,34.667691642675365,51.19603249058645,IR,1538950535.0,0.0,93.0,52.36,5.41
260,Houma,28.840549295939397,-90.46636886851047,US,1538948100.0,40.0,52.0,86.79,9.17
261,Talara,-5.3540299652389365,-86.18740075050191,PE,1538946000.0,0.0,290.0,62.6,13.87
262,Yeppoon,-21.160667121148876,152.89082887398376,AU,1538947800.0,40.0,78.0,73.4,4.7
263,Ponta Delgada,30.972070856909426,-28.16780894050973,PT,1538949600.0,20.0,73.0,69.8,6.93
264,Otavi,-19.534815974394306,16.78060446477346,NA,1538950819.0,20.0,27.0,66.49,6.53
265,Klaksvik,71.35158188223116,-7.933730562307545,FO,1538949000.0,56.0,75.0,44.6,18.34
266,Touros,0.5516183162544479,-25.92228251905783,BR,1538950820.0,0.0,77.0,79.72,18.5
267,Lebu,-31.677965237670122,-92.64498126055607,CL,1538950820.0,92.0,98.0,53.26,30.58
268,Butembo,0.6537212472721023,28.28430709937956,CD,1538950820.0,8.0,97.0,59.92,2.17
269,Huarmey,-18.662631753898566,-94.09616504701447,PE,1538950820.0,8.0,52.0,72.97,3.96
270,Lubin,51.5392824941905,16.207525016448784,PL,1538949600.0,40.0,87.0,44.6,3.36
271,Amritsar,31.59845055527944,74.74746991788888,IN,1538949300.0,0.0,83.0,69.8,1.72
272,Yuci,37.47305371946055,113.04000954437106,CN,1538949600.0,0.0,80.0,33.8,2.24
273,Cabo San Lucas,12.83968062655785,-124.04574393777968,MX,1538944800.0,5.0,62.0,89.04,10.29
274,Ankang,32.318093662508275,109.04169837547926,CN,1538950821.0,88.0,77.0,53.89,1.5
275,Burns Lake,54.803066052518886,-125.54029668475215,CA,1538950821.0,92.0,100.0,41.29,2.84
276,Tautira,-15.276657478761535,-144.31557898029334,PF,1538947800.0,40.0,69.0,82.4,6.93
277,High Prairie,56.04270733796892,-116.50884541814105,CA,1538950821.0,92.0,80.0,39.22,5.75
279,Nyurba,67.1205418625893,116.61253123217404,RU,1538950822.0,80.0,93.0,32.11,4.18
280,Mocuba,-18.829863517439307,39.280296896992155,MZ,1538950822.0,76.0,89.0,67.12,4.74
283,Sri Aman,-0.2772828782778589,111.30981462778732,MY,1538949600.0,8.0,100.0,75.2,1.95
284,Shiyan,32.79625604170316,110.1632296101456,CN,1538950822.0,68.0,80.0,55.51,1.83
285,Praya,-9.884839241521263,116.41854018738582,ID,1538949600.0,40.0,88.0,75.2,6.93
287,Polunochnoye,62.37436764840771,59.659364895571144,RU,1538950823.0,0.0,78.0,28.96,5.86
288,Orbetello,42.207706438418626,11.426483744773606,IT,1538949300.0,20.0,100.0,60.8,3.36
289,Jennings,30.294171812244187,-92.89177451280416,US,1538948100.0,1.0,61.0,86.79,10.45
290,Rawson,-49.345082969582336,-58.48616252143033,AR,1538950823.0,92.0,27.0,71.17,18.16
292,San Cristobal,-4.814784127316102,-87.08717445544727,EC,1538950823.0,92.0,100.0,66.13,3.18
293,Darhan,46.182620520605155,109.21474829668381,MN,1538950823.0,64.0,86.0,25.36,3.74
294,Qaanaaq,82.8721197164472,-93.53471974091173,GL,1538950803.0,12.0,100.0,18.34,15.82
296,Darovskoy,59.22612118559712,47.66129185871233,RU,1538950824.0,92.0,99.0,43.18,5.86
297,Tuxpan,21.793470067555063,-105.53588197257463,MX,1538950824.0,76.0,84.0,67.48,2.73
298,Wanning,19.18218730754802,110.42707429603496,CN,1538950824.0,76.0,100.0,78.28,6.08
299,Sarangani,3.753853181232529,124.63801906790258,PH,1538950824.0,24.0,100.0,82.42,10.56
300,Ubinskoye,55.64963874076756,79.9494984660223,RU,1538950581.0,80.0,92.0,44.26,13.58
301,Derzhavinsk,50.47177724955705,67.57073543240719,KZ,1538950825.0,32.0,61.0,43.9,14.81
303,Najran,17.373219218507913,44.731962516597065,SA,1538946000.0,0.0,19.0,75.2,2.51
304,Bandarbeyla,10.100593619896202,50.22638965317458,SO,1538950825.0,0.0,98.0,76.12,3.62
305,Sondrio,46.378418085843805,9.793063842276581,IT,1538949000.0,20.0,100.0,48.61,1.12
306,Veraval,17.284016885603876,68.44890226787723,IN,1538950825.0,24.0,86.0,81.7,5.53
307,Eau Claire,44.38537912251732,-91.26162837880854,US,1538949360.0,90.0,77.0,48.83,8.05
